vendorid,drivertip,mtatax,distance,numpassengers,tollamount,paymentmethod,ratecode,storedflag,extracharges,totalamount,deliv_time_spent
2.0,1.4,0.5,2.12,4.0,0.0,1.0,1.0,N,0.0,13.2,13.516666666666667
1.0,0.0,0.5,2.2,1.0,0.0,2.0,1.0,N,0.0,10.3,10.35
2.0,0.0,0.5,8.45,4.0,5.76,2.0,1.0,N,0.0,40.06,45.983333333333334
2.0,1.2,0.5,1.15,6.0,0.0,1.0,1.0,N,1.0,9.0,5.5
2.0,1.56,0.5,1.06,1.0,0.0,1.0,1.0,N,1.0,9.36,6.233333333333333
1.0,1.25,0.5,1.2,1.0,0.0,1.0,1.0,N,0.5,9.55,5.9
1.0,1.0,0.5,1.6,1.0,0.0,1.0,1.0,N,0.0,10.3,8.2
2.0,0.0,0.5,1.7,2.0,0.0,2.0,1.0,N,0.0,10.3,10.733333333333333
2.0,2.0,0.5,0.77,1.0,0.0,1.0,1.0,N,0.0,7.8,5.016666666666667
2.0,2.36,0.5,1.78,1.0,0.0,1.0,1.0,N,0.0,14.16,15.25
1.0,3.65,0.5,2.2,1.0,0.0,1.0,1.0,N,1.0,15.95,13.466666666666667
2.0,0.0,0.5,2.53,3.0,0.0,2.0,1.0,N,1.0,13.3,15.15
2.0,0.0,0.5,0.59,1.0,0.0,2.0,1.0,N,0.5,5.8,3.566666666666667
2.0,1.86,0.5,1.28,1.0,0.0,1.0,1.0,N,0.5,11.16,9.483333333333333
1.0,1.0,0.5,9.5,1.0,0.0,1.0,1.0,N,0.5,29.8,20.616666666666667
2.0,2.26,0.5,3.01,6.0,0.0,1.0,1.0,N,0.5,13.56,8.016666666666667
2.0,0.0,0.5,1.36,1.0,0.0,2.0,1.0,N,1.0,9.3,7.766666666666667
1.0,2.35,0.5,2.1,4.0,0.0,1.0,1.0,N,0.5,14.15,12.35
2.0,3.95,0.5,2.17,1.0,0.0,1.0,1.0,N,0.0,19.75,23.233333333333334
2.0,1.0,0.5,1.53,1.0,0.0,1.0,1.0,N,0.0,9.8,8.85
2.0,7.51,0.5,10.61,1.0,5.76,1.0,1.0,N,0.5,45.07,22.866666666666667
1.0,3.0,0.5,0.9,1.0,0.0,1.0,1.0,N,0.5,10.3,6.033333333333333
2.0,0.0,0.5,2.72,5.0,0.0,2.0,1.0,N,0.0,17.8,26.233333333333334
2.0,4.0,0.5,1.25,1.0,0.0,1.0,1.0,N,0.0,11.3,5.933333333333334
1.0,2.0,0.5,3.5,1.0,0.0,1.0,1.0,N,0.0,21.8,29.916666666666668
1.0,0.0,0.5,0.9,1.0,0.0,2.0,1.0,N,1.0,7.3,4.683333333333334
2.0,0.0,0.5,2.29,4.0,0.0,2.0,1.0,N,0.5,14.3,16.65
1.0,1.55,0.5,1.0,1.0,0.0,1.0,1.0,N,0.0,9.35,8.266666666666667
2.0,14.64,0.5,14.4,1.0,5.76,1.0,2.0,N,0.0,73.2,21.1
1.0,0.0,0.5,0.9,1.0,0.0,2.0,1.0,N,0.0,6.3,7.116666666666666
2.0,4.46,0.5,5.46,3.0,0.0,1.0,1.0,N,0.0,26.76,23.916666666666668
2.0,0.0,0.5,0.0,1.0,0.0,2.0,1.0,N,1.0,4.3,0.15
2.0,0.0,0.5,0.48,1.0,0.0,2.0,1.0,N,0.0,6.8,7.783333333333333
2.0,0.0,0.5,1.39,2.0,0.0,2.0,1.0,N,0.0,7.3,5.95
2.0,1.96,0.5,1.9,1.0,0.0,1.0,1.0,N,0.5,11.76,9.283333333333333
1.0,7.5,0.5,8.3,2.0,5.76,1.0,1.0,N,1.0,43.56,30.983333333333334
2.0,0.0,0.5,13.04,5.0,5.76,2.0,1.0,N,0.0,47.56,37.35
1.0,0.0,0.5,3.0,1.0,0.0,2.0,1.0,N,0.5,12.8,12.366666666666667
2.0,0.0,0.5,3.37,1.0,0.0,2.0,1.0,N,0.5,20.3,28.366666666666667
2.0,0.0,0.5,1.08,2.0,0.0,2.0,1.0,N,0.0,7.3,7.166666666666667
2.0,0.0,0.5,0.25,1.0,0.0,2.0,1.0,N,0.0,4.3,2.05
2.0,1.06,0.5,0.54,1.0,0.0,1.0,1.0,N,0.0,6.36,3.55
1.0,3.0,0.5,5.2,1.0,5.76,1.0,1.0,N,0.0,29.06,21.166666666666668
2.0,17.57,0.5,17.04,2.0,5.76,1.0,2.0,N,0.0,76.13,24.683333333333334
2.0,3.0,0.5,4.19,2.0,0.0,1.0,1.0,N,0.0,22.3,24.25
2.0,0.0,0.5,1.03,4.0,0.0,2.0,1.0,N,1.0,8.8,8.316666666666666
2.0,2.04,0.5,0.93,5.0,0.0,1.0,1.0,N,0.0,8.84,8.133333333333333
1.0,0.0,0.5,0.5,1.0,0.0,2.0,1.0,N,0.0,6.3,6.433333333333334
2.0,1.92,0.5,1.02,6.0,0.0,1.0,1.0,N,1.0,14.72,16.15
1.0,1.95,0.5,1.2,1.0,0.0,1.0,1.0,N,0.0,11.75,11.8
2.0,3.08,0.5,2.32,1.0,0.0,1.0,1.0,N,0.5,15.38,13.833333333333334
2.0,2.0,0.5,1.52,1.0,0.0,1.0,1.0,N,0.0,14.3,17.633333333333333
2.0,1.46,0.5,0.98,1.0,0.0,1.0,1.0,N,0.0,8.76,6.933333333333334
2.0,2.0,0.5,1.82,5.0,0.0,1.0,1.0,N,0.0,17.8,24.516666666666666
1.0,3.05,0.5,3.0,1.0,0.0,1.0,1.0,N,0.5,18.35,17.566666666666666
1.0,1.85,0.5,1.3,1.0,0.0,1.0,1.0,N,1.0,11.15,8.566666666666666
1.0,4.25,0.5,5.3,1.0,0.0,1.0,1.0,N,0.5,25.55,23.433333333333334
1.0,0.0,0.5,1.0,1.0,0.0,2.0,1.0,N,0.0,8.3,9.066666666666666
2.0,2.46,0.5,2.59,3.0,0.0,1.0,1.0,N,0.0,14.76,13.683333333333334
2.0,7.51,0.5,9.41,2.0,5.76,1.0,1.0,N,0.0,45.07,30.9
1.0,1.0,0.5,0.9,1.0,0.0,1.0,1.0,N,0.0,7.8,6.5
1.0,10.75,0.5,15.0,1.0,0.0,1.0,1.0,N,0.0,64.55,68.0
1.0,1.95,0.5,1.6,1.0,0.0,1.0,1.0,N,0.5,11.75,10.283333333333333
1.0,2.35,0.5,2.1,1.0,0.0,1.0,1.0,N,0.0,14.15,13.466666666666667
1.0,3.35,0.5,2.5,1.0,0.0,1.0,1.0,N,1.0,20.15,23.3
1.0,1.45,0.5,1.0,1.0,0.0,1.0,1.0,N,0.0,8.75,6.95
1.0,2.0,0.5,2.6,1.0,0.0,1.0,1.0,N,0.0,15.8,15.866666666666667
2.0,2.46,0.5,1.88,1.0,0.0,1.0,1.0,N,1.0,14.76,13.766666666666667
1.0,1.5,0.5,1.0,1.0,0.0,1.0,1.0,N,0.0,10.3,9.45
1.0,0.0,0.5,3.6,1.0,0.0,2.0,1.0,N,0.5,13.8,8.783333333333333
1.0,0.0,0.5,1.1,1.0,0.0,2.0,1.0,N,0.0,8.3,8.966666666666667
1.0,4.0,0.5,7.0,1.0,0.0,1.0,1.0,N,0.5,32.8,33.53333333333333
1.0,1.0,0.5,0.9,1.0,0.0,1.0,1.0,N,0.5,7.8,4.583333333333333
2.0,3.26,0.5,3.44,1.0,0.0,1.0,1.0,N,1.0,19.56,18.216666666666665
1.0,1.0,0.5,0.2,1.0,0.0,1.0,1.0,N,0.0,5.3,2.8333333333333335
1.0,2.05,0.5,1.9,1.0,0.0,1.0,1.0,N,0.5,12.35,9.3
2.0,0.0,0.5,1.03,1.0,0.0,2.0,1.0,N,0.5,6.8,4.716666666666667
1.0,0.0,0.5,2.3,1.0,0.0,2.0,1.0,N,0.0,12.8,15.6
2.0,2.36,0.5,1.54,1.0,0.0,1.0,1.0,N,0.0,14.16,15.983333333333333
1.0,0.0,0.5,1.1,2.0,0.0,2.0,1.0,N,0.0,8.8,10.066666666666666
2.0,4.66,0.5,5.79,1.0,0.0,1.0,1.0,N,1.0,27.96,22.716666666666665
2.0,2.06,0.5,1.8,1.0,0.0,1.0,1.0,N,0.5,12.36,10.716666666666667
1.0,1.5,0.5,1.1,1.0,0.0,1.0,1.0,N,0.0,7.8,4.633333333333334
2.0,1.56,0.5,0.87,6.0,0.0,1.0,1.0,N,0.0,9.36,8.15
1.0,2.0,0.5,1.5,1.0,0.0,1.0,1.0,N,0.5,11.8,10.566666666666666
2.0,0.0,0.5,1.05,1.0,0.0,2.0,1.0,N,0.5,8.3,8.3
2.0,0.0,0.5,1.53,1.0,0.0,2.0,1.0,N,0.0,10.8,13.416666666666666
1.0,3.25,0.5,3.2,3.0,0.0,1.0,1.0,N,0.0,19.55,22.283333333333335
1.0,2.65,0.5,2.2,1.0,0.0,1.0,1.0,N,0.0,15.95,17.283333333333335
2.0,0.0,0.5,3.18,4.0,0.0,2.0,1.0,N,1.0,15.3,16.233333333333334
2.0,0.0,0.5,1.21,1.0,0.0,2.0,1.0,N,0.0,7.3,9.216666666666667
2.0,0.0,0.5,0.71,1.0,0.0,2.0,1.0,N,0.0,9.8,12.666666666666666
2.0,0.0,0.5,3.01,1.0,0.0,2.0,1.0,N,0.0,13.8,15.15
1.0,2.0,0.5,1.1,1.0,0.0,1.0,1.0,N,0.0,9.3,7.066666666666666
2.0,0.0,0.5,5.8,1.0,0.0,2.0,1.0,N,0.0,19.8,16.816666666666666
2.0,1.76,0.5,1.26,2.0,0.0,1.0,1.0,N,0.0,10.56,10.083333333333334
1.0,0.0,0.5,1.4,1.0,0.0,2.0,1.0,N,0.0,8.8,9.9
2.0,1.7,0.5,1.03,1.0,0.0,1.0,1.0,N,0.0,8.5,6.4
1.0,10.95,0.5,8.4,1.0,5.76,1.0,1.0,N,0.5,47.51,33.166666666666664
2.0,0.0,0.5,0.62,1.0,0.0,2.0,1.0,N,0.0,6.8,6.7
2.0,0.0,0.5,8.12,1.0,0.0,1.0,1.0,N,0.5,25.3,14.866666666666667
2.0,0.0,0.5,1.92,1.0,0.0,2.0,1.0,N,0.0,19.8,32.85
2.0,0.96,0.5,0.47,2.0,0.0,1.0,1.0,N,0.0,5.76,2.816666666666667
2.0,0.8,0.5,0.56,1.0,0.0,1.0,1.0,N,0.0,8.05,3.216666666666667
1.0,0.0,0.5,0.8,1.0,0.0,2.0,1.0,N,0.5,6.8,5.016666666666667
1.0,3.55,0.5,3.0,2.0,0.0,1.0,1.0,N,0.0,21.35,25.933333333333334
1.0,6.0,0.5,11.5,1.0,5.76,1.0,1.0,N,1.0,58.06,67.68333333333334
2.0,2.0,0.5,10.09,2.0,0.0,1.0,1.0,N,0.0,34.3,28.366666666666667
1.0,0.0,0.5,1.4,1.0,0.0,2.0,1.0,N,0.0,9.3,10.966666666666667
1.0,4.3,0.5,4.5,1.0,5.76,1.0,1.0,N,0.0,25.86,14.0
2.0,1.54,0.5,1.87,2.0,0.0,1.0,1.0,N,0.0,11.84,11.7
2.0,9.26,0.5,9.61,1.0,5.76,1.0,1.0,N,0.5,46.32,24.383333333333333
2.0,0.0,0.5,1.1,1.0,0.0,2.0,1.0,N,0.0,7.3,6.366666666666666
1.0,0.0,0.5,1.9,1.0,0.0,2.0,1.0,N,0.0,13.8,18.983333333333334
1.0,2.05,0.5,2.5,1.0,0.0,1.0,1.0,N,0.0,12.35,8.35
1.0,1.85,0.5,1.0,1.0,0.0,1.0,1.0,N,1.0,11.15,8.966666666666667
1.0,3.45,0.5,2.9,1.0,0.0,1.0,1.0,N,0.0,20.75,25.1
2.0,0.0,0.5,1.17,2.0,0.0,2.0,1.0,N,0.0,7.8,7.333333333333333
2.0,0.0,0.5,19.9,1.0,5.76,2.0,2.0,N,4.5,63.06,38.95
1.0,2.45,0.5,2.6,1.0,0.0,1.0,1.0,N,0.5,14.75,11.116666666666667
1.0,0.0,0.5,0.6,1.0,0.0,2.0,1.0,N,0.0,4.8,2.8333333333333335
2.0,0.0,0.5,18.29,2.0,5.76,2.0,2.0,N,0.0,58.56,79.11666666666666
1.0,1.5,0.5,1.8,1.0,0.0,1.0,1.0,N,1.0,10.8,7.1
2.0,1.5,0.5,1.07,1.0,0.0,1.0,1.0,N,0.5,11.3,11.5
2.0,1.06,0.5,0.73,1.0,0.0,1.0,1.0,N,0.0,6.36,3.683333333333333
1.0,1.7,0.5,2.6,1.0,0.0,1.0,1.0,N,0.5,13.0,10.516666666666667
1.0,2.35,0.5,2.1,1.0,0.0,1.0,1.0,N,0.0,14.15,12.55
2.0,1.66,0.5,1.17,1.0,0.0,1.0,1.0,N,0.5,9.96,7.6
1.0,3.45,0.5,2.9,1.0,0.0,1.0,1.0,N,1.0,20.75,21.583333333333332
1.0,0.0,0.5,11.4,1.0,2.64,2.0,1.0,N,0.5,38.94,28.166666666666668
1.0,0.0,0.5,7.0,1.0,0.0,2.0,1.0,N,0.5,22.8,17.266666666666666
2.0,2.82,0.5,1.94,1.0,0.0,1.0,1.0,N,1.0,14.12,11.033333333333333
2.0,1.06,0.5,0.55,2.0,0.0,1.0,1.0,N,0.0,6.36,4.233333333333333
1.0,1.65,0.5,1.3,1.0,0.0,1.0,1.0,N,0.0,9.95,8.683333333333334
2.0,0.0,0.5,1.07,2.0,0.0,2.0,1.0,N,0.0,9.3,10.95
2.0,0.0,0.5,1.29,5.0,0.0,2.0,1.0,N,0.0,6.3,2.316666666666667
2.0,6.82,0.5,8.59,1.0,0.0,1.0,1.0,N,0.0,34.12,26.283333333333335
1.0,1.25,0.5,0.9,1.0,0.0,1.0,1.0,N,0.0,9.05,7.35
1.0,0.0,0.5,2.6,1.0,0.0,2.0,1.0,N,0.0,14.8,18.983333333333334
1.0,2.75,0.5,3.5,1.0,0.0,1.0,1.0,N,0.0,16.55,14.45
1.0,3.35,0.5,1.7,2.0,0.0,1.0,1.0,N,1.0,20.15,24.066666666666666
1.0,6.0,0.5,7.3,1.0,0.0,1.0,1.0,N,0.5,29.3,16.25
2.0,1.86,0.5,1.45,1.0,0.0,1.0,1.0,N,0.5,11.16,9.366666666666667
1.0,2.65,0.5,2.6,2.0,0.0,1.0,1.0,N,0.5,15.95,14.833333333333334
2.0,0.0,0.5,0.58,1.0,0.0,2.0,1.0,N,0.0,5.8,4.683333333333334
2.0,2.5,0.5,4.82,2.0,0.0,1.0,1.0,N,0.5,21.8,19.166666666666668
2.0,0.0,0.5,1.37,1.0,0.0,2.0,1.0,N,0.5,8.3,7.8
1.0,1.5,0.5,1.7,1.0,0.0,1.0,1.0,N,0.5,11.8,11.35
1.0,1.7,0.5,1.5,1.0,0.0,1.0,1.0,N,0.0,12.0,12.1
2.0,9.52,0.5,9.72,1.0,5.76,1.0,1.0,N,1.0,47.58,33.85
2.0,1.76,0.5,1.61,2.0,0.0,1.0,1.0,N,0.5,10.56,7.566666666666666
1.0,0.0,0.5,5.7,1.0,0.0,2.0,1.0,N,0.0,19.3,14.583333333333334
2.0,0.0,0.5,1.47,6.0,0.0,2.0,1.0,N,0.5,8.3,6.6
1.0,1.35,0.5,0.9,1.0,0.0,1.0,1.0,N,1.0,8.15,3.2333333333333334
2.0,0.0,0.5,0.71,1.0,0.0,2.0,1.0,N,0.0,6.8,6.466666666666667
1.0,0.0,0.5,2.0,1.0,0.0,2.0,1.0,N,0.0,15.3,22.366666666666667
1.0,1.15,0.5,0.9,1.0,0.0,1.0,1.0,N,0.0,6.95,3.25
2.0,0.0,0.5,0.94,2.0,0.0,2.0,1.0,N,0.5,6.3,3.9
1.0,1.7,0.5,1.1,1.0,0.0,1.0,1.0,N,1.0,9.0,3.966666666666667
2.0,0.0,0.5,5.17,2.0,0.0,2.0,1.0,N,0.5,19.8,19.75
2.0,1.26,0.5,0.46,1.0,0.0,1.0,1.0,N,1.0,7.56,3.3833333333333333
1.0,7.3,0.5,10.1,1.0,5.76,1.0,1.0,N,1.0,43.86,23.6
2.0,2.16,0.5,2.05,1.0,0.0,1.0,1.0,N,0.0,12.96,11.8
2.0,3.0,0.5,6.07,5.0,0.0,1.0,1.0,N,0.0,32.8,44.583333333333336
1.0,0.0,0.5,0.9,2.0,0.0,2.0,1.0,N,0.5,6.3,3.1333333333333333
1.0,5.0,0.5,7.5,1.0,0.0,1.0,1.0,N,0.5,36.3,40.31666666666667
2.0,0.0,0.5,1.82,2.0,0.0,2.0,1.0,N,0.0,8.8,8.366666666666667
1.0,0.0,0.5,3.2,1.0,0.0,2.0,1.0,N,0.5,16.3,19.033333333333335
2.0,8.0,0.5,10.69,1.0,5.76,1.0,1.0,N,0.5,52.06,39.31666666666667
1.0,0.0,0.5,9.0,1.0,0.0,2.0,1.0,N,0.5,34.3,37.35
2.0,2.0,0.5,3.16,1.0,0.0,1.0,1.0,N,0.0,20.3,25.0
1.0,14.6,0.5,19.4,2.0,5.76,1.0,2.0,N,0.0,73.16,71.16666666666667
1.0,0.0,0.5,3.2,1.0,0.0,2.0,1.0,N,1.0,15.8,18.683333333333334
2.0,2.2,0.5,1.37,1.0,0.0,1.0,1.0,N,0.5,11.0,9.9
1.0,3.0,0.5,13.2,1.0,0.0,1.0,1.0,N,0.0,46.3,50.15
2.0,0.0,0.5,0.19,1.0,0.0,2.0,1.0,N,0.0,4.3,2.0
1.0,9.15,0.5,14.2,1.0,0.0,1.0,1.0,N,0.0,54.95,52.05
2.0,1.46,0.5,1.23,2.0,0.0,1.0,1.0,N,0.5,8.76,5.283333333333333
2.0,0.0,0.5,0.98,1.0,0.0,2.0,1.0,N,1.0,9.3,9.733333333333333
1.0,6.15,0.5,9.1,1.0,0.0,1.0,1.0,N,0.0,36.95,30.833333333333332
1.0,1.5,0.5,0.9,1.0,0.0,1.0,1.0,N,1.0,11.3,10.083333333333334
2.0,2.19,0.5,0.84,1.0,0.0,1.0,1.0,N,0.0,9.49,7.116666666666666
1.0,3.35,0.5,3.5,1.0,0.0,1.0,1.0,N,1.0,20.15,19.216666666666665
1.0,2.05,0.5,1.6,3.0,0.0,1.0,1.0,N,1.0,12.35,9.833333333333334
2.0,0.0,0.5,1.73,2.0,0.0,2.0,1.0,N,0.0,9.3,9.35
1.0,0.0,0.5,0.6,1.0,0.0,2.0,1.0,N,0.0,4.8,2.7666666666666666
1.0,3.0,0.5,7.3,1.0,0.0,1.0,1.0,N,1.0,27.8,18.516666666666666
1.0,1.15,0.5,0.4,1.0,0.0,1.0,1.0,N,1.0,6.95,3.05
2.0,4.56,0.5,4.64,1.0,0.0,1.0,1.0,N,1.0,27.36,27.8
1.0,0.0,0.5,1.5,2.0,0.0,2.0,1.0,N,0.0,9.3,9.483333333333333
2.0,1.0,0.5,2.53,1.0,0.0,1.0,1.0,N,0.0,12.3,11.483333333333333
1.0,3.35,0.5,1.6,1.0,0.0,1.0,1.0,N,0.5,14.65,12.583333333333334
2.0,1.16,0.5,0.62,1.0,0.0,1.0,1.0,N,0.0,6.96,5.35
2.0,0.7,0.5,0.62,1.0,0.0,1.0,1.0,N,0.0,7.0,5.75
2.0,2.2,0.5,4.34,1.0,0.0,1.0,1.0,N,0.5,19.0,17.266666666666666
1.0,0.0,0.5,3.7,1.0,0.0,2.0,1.0,N,0.0,16.3,17.566666666666666
1.0,0.0,0.5,0.8,1.0,0.0,2.0,1.0,N,1.0,8.3,8.016666666666667
2.0,1.56,0.5,1.34,1.0,0.0,1.0,1.0,N,0.0,9.36,7.366666666666666
1.0,0.0,0.5,0.5,1.0,0.0,2.0,1.0,N,0.0,4.3,2.1166666666666667
1.0,1.5,0.5,0.9,1.0,0.0,1.0,1.0,N,0.0,9.8,9.533333333333333
1.0,0.0,0.5,1.4,1.0,0.0,2.0,1.0,N,0.0,8.8,9.816666666666666
2.0,0.0,0.5,1.11,1.0,0.0,2.0,1.0,N,0.5,8.3,8.65
2.0,0.0,0.5,3.87,1.0,0.0,1.0,1.0,N,0.5,15.3,13.833333333333334
1.0,0.0,0.5,2.2,1.0,0.0,2.0,1.0,N,0.5,11.3,10.533333333333333
2.0,1.8,0.5,3.16,3.0,0.0,1.0,1.0,N,0.0,20.6,27.083333333333332
2.0,3.86,0.5,4.42,1.0,0.0,1.0,1.0,N,0.5,23.16,22.433333333333334
2.0,1.0,0.5,1.95,6.0,0.0,1.0,1.0,N,0.0,10.8,9.25
1.0,0.0,0.5,0.4,1.0,0.0,2.0,1.0,N,1.0,6.3,3.85
2.0,1.76,0.5,1.4,1.0,0.0,1.0,1.0,N,0.0,10.56,9.6
2.0,0.0,0.5,5.71,1.0,0.0,2.0,1.0,N,0.5,20.3,14.883333333333333
1.0,1.75,0.5,1.7,1.0,0.0,1.0,1.0,N,0.5,10.55,7.383333333333334
1.0,3.55,0.5,4.5,1.0,0.0,1.0,1.0,N,1.0,21.35,16.5
2.0,0.0,0.5,0.93,1.0,0.0,2.0,1.0,N,0.0,7.3,7.066666666666666
2.0,1.89,0.5,0.73,1.0,0.0,1.0,1.0,N,0.0,8.19,5.483333333333333
1.0,1.0,0.5,0.4,1.0,0.0,1.0,1.0,N,1.0,9.8,9.783333333333333
2.0,2.76,0.5,2.6,4.0,0.0,1.0,1.0,N,1.0,16.56,14.5
2.0,2.56,0.5,1.5,1.0,0.0,1.0,1.0,N,0.0,15.36,17.283333333333335
2.0,2.06,0.5,1.27,1.0,0.0,1.0,1.0,N,0.5,12.36,11.65
2.0,2.7,0.5,3.88,5.0,0.0,1.0,1.0,N,1.0,19.0,16.383333333333333
1.0,1.05,0.5,0.9,1.0,0.0,1.0,1.0,N,0.0,6.35,3.45
1.0,1.65,0.5,0.9,1.0,0.0,1.0,1.0,N,0.0,9.95,8.883333333333333
2.0,2.79,0.5,0.77,1.0,0.0,1.0,1.0,N,0.0,12.09,11.85
1.0,3.85,0.5,3.9,1.0,0.0,1.0,1.0,N,1.0,23.15,23.8
